# SOURCE: Derived from wind_turbines-research.csv and daily_weather_openfield-research.csv
# DATE: 2026-02-25
# DESCRIPTION: Daily wind energy output per turbine for small/medium/large distributed-scale turbines
# UNITS: date=YYYY-MM-DD, small_turbine_kwh, medium_turbine_kwh, large_turbine_kwh=kWh/turbine/day
# LOGIC: Wind speed extrapolated from 10m to hub height using power law (alpha=0.14). Power curve: P = P_rated * (v^3 - v_cin^3) / (v_rated^3 - v_cin^3) for v_cin <= v <= v_rated; P_rated for v_rated < v <= v_cout; 0 otherwise. Expected power computed by numerical integration of power curve over Rayleigh distribution of sub-daily wind speeds (corrects Jensen's inequality bias from using daily mean directly). System losses (availability, electrical, dust/soiling, mechanical) applied as per-turbine derating.
# DEPENDENCIES: data/energy/wind_turbines-research.csv, data/weather/daily_weather_openfield-research.csv
# ASSUMPTIONS: (1) Power-law wind shear exponent 0.14 for open coastal terrain. (2) Sub-daily wind speed variability modeled via Rayleigh distribution (sigma = v_mean * sqrt(2/pi)). (3) No air density correction for altitude/temperature.
# TURBINES: small=bergey_excel_10 (10kW, hub 30m, rotor 7.0m, losses 12%); medium=eocycle_eo25 (25kW, hub 30m, rotor 12.6m, losses 10%); large=endurance_e3120 (50kW, hub 37m, rotor 19.2m, losses 10%)
date,small_turbine_kwh,medium_turbine_kwh,large_turbine_kwh
2010-10-16,0.23,0.17,0.34
2010-10-17,18.38,42.79,118.75
2010-10-18,1.01,1.33,3.15
2010-10-19,1.49,2.21,5.43
2010-10-20,16.9,39.05,108.58
2010-10-21,25.7,61.38,167.91
2010-10-22,60.36,150.31,376.88
2010-10-23,85.7,215.65,512.17
2010-10-24,89.04,224.26,529.17
2010-10-25,100.55,253.98,586.46
2010-10-26,34.71,84.4,225.71
2010-10-27,8.21,17.48,48.18
2010-10-28,4.15,7.88,20.96
2010-10-29,111.32,281.79,638.03
2010-10-30,88.01,221.6,523.93
2010-10-31,61.31,152.75,382.15
2010-11-01,75.43,189.15,458.7
2010-11-02,15.79,36.27,100.95
2010-11-03,25.11,59.88,164.04
2010-11-04,3.88,7.25,19.2
2010-11-05,26.1,62.39,170.51
2010-11-06,49.92,123.43,317.39
2010-11-07,75.43,189.15,458.7
2010-11-08,34.05,82.71,221.58
2010-11-09,13.28,29.97,83.46
2010-11-10,12.18,27.23,75.79
2010-11-11,23.38,55.48,152.57
2010-11-12,5.89,11.91,32.35
2010-11-13,3.17,5.68,14.84
2010-11-14,5.55,11.11,30.06
2010-11-15,8.54,18.27,50.41
2010-11-16,50.63,125.26,321.52
2010-11-17,16.42,37.85,105.28
2010-11-18,5.81,11.71,31.77
2010-11-19,10.51,23.1,64.12
2010-11-20,22.26,52.63,145.07
2010-11-21,53.95,133.81,340.67
2010-11-22,69.73,174.45,428.24
2010-11-23,17.38,40.28,111.93
2010-11-24,10.51,23.1,64.12
2010-11-25,16.26,37.45,104.19
2010-11-26,16.1,37.05,103.1
2010-11-27,16.58,38.25,106.37
2010-11-28,2.93,5.17,13.42
2010-11-29,10.38,22.79,63.27
2010-11-30,2.05,3.3,8.34
2010-12-01,4.9,9.59,25.78
2010-12-02,6.34,12.97,35.35
2010-12-03,4.44,8.54,22.82
2010-12-04,4.74,9.23,24.77
2010-12-05,8.65,18.53,51.17
2010-12-06,108.08,273.43,622.74
2010-12-07,46.85,115.54,299.41
2010-12-08,23.76,56.45,155.09
2010-12-09,49.21,121.61,313.26
2010-12-10,63.9,159.43,396.49
2010-12-11,76.33,191.47,463.45
2010-12-12,132.07,335.51,729.5
2010-12-13,67.41,168.47,415.69
2010-12-14,0.02,0.0,0.01
2010-12-15,2.76,4.8,12.41
2010-12-16,1.27,1.8,4.35
2010-12-17,1.69,2.6,6.46
2010-12-18,96.03,242.3,564.2
2010-12-19,66.71,166.67,411.88
2010-12-20,20.81,48.94,135.27
2010-12-21,20.45,48.03,132.86
2010-12-22,40.34,98.82,260.42
2010-12-23,64.37,160.64,399.07
2010-12-24,18.71,43.64,121.06
2010-12-25,9.32,20.18,55.84
2010-12-26,1.69,2.6,6.46
2010-12-27,14.14,32.12,89.46
