# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=medium (GCR=50%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-1.50C); solar_new = solar_openfield * irradiance_multiplier (0.50); wind_new = wind_openfield * wind_speed_multiplier (0.85). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: medium (ground_coverage_pct=50)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2019-03-02,17.71,11.25,2.86,3.98,0.07,001
2019-03-03,20.36,11.11,3.16,3.85,0.0,001
2019-03-04,19.08,11.72,3.12,3.21,0.0,001
2019-03-05,19.01,12.76,2.24,4.88,0.43,001
2019-03-06,19.57,10.93,3.13,4.0,0.05,001
2019-03-07,20.99,12.98,3.2,4.79,0.0,001
2019-03-08,22.14,11.37,3.37,3.03,0.0,001
2019-03-09,22.09,12.02,3.4,2.83,0.0,001
2019-03-10,22.38,13.4,3.4,4.96,0.0,001
2019-03-11,21.44,12.43,3.44,4.52,0.0,001
2019-03-12,22.4,13.19,3.16,2.72,0.0,001
2019-03-13,26.75,15.28,3.06,4.42,0.0,001
2019-03-14,18.38,12.53,3.02,7.18,0.0,001
2019-03-15,21.32,13.33,3.32,2.78,0.0,001
2019-03-16,19.15,12.38,2.98,6.5,0.0,001
2019-03-17,19.2,10.59,3.46,5.45,0.0,001
2019-03-18,21.88,14.19,3.54,2.54,0.0,001
2019-03-19,24.05,14.74,3.52,4.37,0.0,001
2019-03-20,21.97,13.46,3.31,4.65,0.0,001
2019-03-21,23.57,13.91,3.38,6.06,0.0,001
2019-03-22,24.22,15.55,3.52,4.55,0.0,001
2019-03-23,24.2,15.94,2.44,3.14,0.0,001
2019-03-24,21.95,15.86,2.9,6.8,0.0,001
2019-03-25,18.28,12.23,2.95,6.41,0.0,001
2019-03-26,20.62,12.24,3.54,3.78,0.0,001
2019-03-27,21.27,13.54,3.58,4.04,0.0,001
2019-03-28,22.4,14.2,3.6,2.93,0.0,001
2019-03-29,25.41,16.58,3.24,2.58,0.0,001
2019-03-30,21.91,15.57,2.86,6.46,0.02,001
2019-03-31,18.12,13.04,2.24,6.89,0.08,001
2019-04-01,20.43,12.04,3.24,4.19,0.01,001
2019-04-02,20.92,13.46,3.32,2.08,0.0,001
2019-04-03,22.31,15.72,2.8,4.16,0.04,001
2019-04-04,23.14,16.45,3.04,3.82,0.0,001
2019-04-05,21.68,14.92,3.68,5.18,0.0,001
2019-04-06,23.38,16.77,2.67,2.12,0.0,001
2019-04-07,27.72,19.6,3.28,1.16,0.0,001
2019-04-08,24.37,19.99,1.41,2.95,0.0,001
2019-04-09,27.54,18.18,3.65,2.0,0.0,001
2019-04-10,22.93,16.31,3.82,6.38,0.0,001
2019-04-11,24.91,15.38,3.93,4.92,0.0,001
2019-04-12,25.14,14.96,3.97,3.15,0.0,001
2019-04-13,27.03,17.02,3.86,3.17,0.0,001
2019-04-14,26.29,20.01,3.18,3.63,0.0,001
2019-04-15,25.35,18.14,2.02,4.12,0.0,001
2019-04-16,24.77,17.57,3.49,5.89,0.0,001
2019-04-17,21.18,15.38,3.9,6.72,0.0,001
2019-04-18,20.93,14.8,4.04,6.06,0.0,001
2019-04-19,22.34,14.98,3.9,5.26,0.0,001
2019-04-20,20.48,14.03,4.04,5.89,0.0,001
2019-04-21,19.76,12.46,4.01,8.0,0.0,001
2019-04-22,20.52,11.49,4.12,5.82,0.0,001
2019-04-23,24.15,14.07,3.98,3.86,0.0,001
2019-04-24,27.87,15.65,3.91,3.4,0.0,001
2019-04-25,31.3,17.73,3.81,3.47,0.0,001
2019-04-26,29.7,19.29,3.96,3.97,0.0,001
2019-04-27,29.78,19.35,3.94,5.84,0.0,001
2019-04-28,29.55,17.6,4.16,4.16,0.0,001
2019-04-29,30.94,22.37,3.94,2.49,0.0,001
2019-04-30,31.55,20.74,3.88,4.3,0.0,001
2019-05-01,31.94,23.49,3.82,1.87,0.0,001
2019-05-02,32.73,24.89,3.54,2.91,0.0,001
2019-05-03,27.91,20.75,3.5,6.42,0.02,001
2019-05-04,26.27,16.64,4.11,4.06,0.0,001
2019-05-05,29.71,18.65,3.92,2.52,0.0,001
2019-05-06,32.34,22.79,3.96,2.74,0.0,001
2019-05-07,27.92,20.71,2.94,7.95,0.0,001
2019-05-08,25.91,17.91,3.82,5.64,0.0,001
2019-05-09,22.68,17.35,4.21,6.95,0.0,001
2019-05-10,24.05,16.81,4.24,4.12,0.0,001
2019-05-11,26.99,18.21,4.14,3.48,0.0,001
2019-05-12,29.97,20.71,4.18,2.35,0.0,001
2019-05-13,31.55,21.62,4.21,2.09,0.0,001
2019-05-14,32.95,22.73,4.24,1.4,0.0,001
2019-05-15,33.95,23.41,4.2,1.56,0.0,001
2019-05-16,34.73,26.34,3.84,1.26,0.0,001
2019-05-17,31.85,24.26,3.72,4.41,0.0,001
2019-05-18,29.59,21.35,4.2,4.71,0.0,001
2019-05-19,29.3,21.36,4.26,4.88,0.0,001
2019-05-20,30.8,20.71,4.22,3.19,0.0,001
2019-05-21,34.64,22.07,4.14,2.14,0.0,001
2019-05-22,35.89,24.32,4.12,2.0,0.0,001
2019-05-23,35.09,26.36,4.16,2.8,0.0,001
2019-05-24,34.55,27.41,3.96,2.86,0.0,001
2019-05-25,31.65,23.41,3.93,4.04,0.0,001
2019-05-26,31.66,22.36,4.04,5.46,0.0,001
2019-05-27,31.71,22.51,4.0,5.45,0.0,001
2019-05-28,31.7,23.48,3.84,5.8,0.0,001
2019-05-29,33.25,22.71,4.12,3.38,0.0,001
2019-05-30,33.41,23.65,4.03,4.36,0.0,001
2019-05-31,33.81,23.97,3.89,5.12,0.0,001
2019-06-01,33.85,25.44,3.83,4.68,0.0,001
2019-06-02,33.09,25.21,4.04,3.38,0.0,001
2019-06-03,34.2,24.87,3.82,2.71,0.0,001
2019-06-04,35.88,25.33,3.82,3.25,0.0,001
2019-06-05,35.2,25.51,3.46,3.93,0.0,001
2019-06-06,33.75,26.25,3.04,5.73,0.0,001
2019-06-07,31.79,23.96,3.96,6.42,0.0,001
2019-06-08,28.87,21.71,4.17,6.88,0.0,001
2019-06-09,29.42,22.29,4.0,4.08,0.0,001
2019-06-10,31.79,23.56,4.18,2.03,0.0,001
2019-06-11,34.09,25.57,4.24,0.81,0.0,001
2019-06-12,31.88,24.17,4.21,5.71,0.0,001
2019-06-13,30.8,22.79,4.18,5.77,0.0,001
2019-06-14,29.03,23.22,4.04,5.45,0.0,001
2019-06-15,29.84,23.44,3.92,3.82,0.0,001
2019-06-16,31.87,24.14,4.18,3.32,0.0,001
2019-06-17,33.81,25.37,4.14,2.18,0.0,001
2019-06-18,32.59,25.32,4.16,5.04,0.0,001
2019-06-19,33.62,24.92,4.08,3.65,0.0,001
2019-06-20,34.74,26.6,4.04,2.64,0.0,001
2019-06-21,33.28,26.62,4.07,4.68,0.0,001
2019-06-22,31.8,24.25,4.24,6.99,0.0,001
2019-06-23,30.91,23.05,4.26,5.54,0.0,001
2019-06-24,33.07,23.58,4.24,5.14,0.0,001
2019-06-25,33.57,24.93,4.14,3.91,0.0,001
2019-06-26,35.72,26.14,4.16,4.18,0.0,001
2019-06-27,35.2,26.35,4.26,5.47,0.0,001
2019-06-28,34.05,25.65,4.25,4.84,0.0,001
2019-06-29,31.76,25.8,4.22,5.77,0.0,001
2019-06-30,31.93,24.49,4.23,5.33,0.0,001
2019-07-01,31.79,24.81,4.14,5.49,0.0,001
2019-07-02,33.53,24.75,4.24,5.43,0.0,001
