# SOURCE: Derived from daily_weather_openfield-research.csv and pv_microclimate_factors-research.csv
# DATE: 2026-02-23
# DESCRIPTION: Daily weather under agri-PV panels (spatial average at crop level). Open-field weather adjusted by microclimate factors for density_variant=low (GCR=30%).
# UNITS: date=YYYY-MM-DD, temp_max_c=Celsius, temp_min_c=Celsius, solar_irradiance_kwh_m2=kWh/m2/day, wind_speed_ms=m/s, precip_mm=mm/day
# LOGIC: temp_new = temp_openfield + temp_adjustment_c (-0.80C); solar_new = solar_openfield * irradiance_multiplier (0.65); wind_new = wind_openfield * wind_speed_multiplier (0.95). Precipitation passed through unchanged (no panel interception in factors).
# DEPENDENCIES: daily_weather_openfield-*.csv, pv_microclimate_factors-*.csv
# ASSUMPTIONS: Microclimate factors represent spatial average across planted area. Panel height 3m, fixed-tilt 28deg. Values from peer-reviewed agri-PV studies.
# DENSITY_VARIANT: low (ground_coverage_pct=30)
date,temp_max_c,temp_min_c,solar_irradiance_kwh_m2,wind_speed_ms,precip_mm,weather_scenario_id
2015-06-08,36.46,26.49,5.12,2.44,0.0,001
2015-06-09,33.0,27.0,4.93,7.96,0.0,001
2015-06-10,31.51,24.21,5.36,8.76,0.0,001
2015-06-11,30.14,21.41,5.57,7.41,0.0,001
2015-06-12,30.5,21.65,5.56,7.18,0.0,001
2015-06-13,29.94,21.52,5.56,7.67,0.0,001
2015-06-14,29.64,21.36,5.56,7.42,0.0,001
2015-06-15,30.66,20.87,5.64,6.28,0.0,001
2015-06-16,31.89,22.29,5.57,6.37,0.0,001
2015-06-17,33.36,22.65,5.57,5.77,0.0,001
2015-06-18,33.01,23.19,5.63,4.57,0.0,001
2015-06-19,33.87,27.07,5.42,4.57,0.0,001
2015-06-20,31.06,24.39,5.49,6.89,0.0,001
2015-06-21,29.55,22.71,5.59,6.94,0.0,001
2015-06-22,31.4,22.4,5.57,6.93,0.0,001
2015-06-23,30.96,22.54,5.64,7.33,0.0,001
2015-06-24,29.44,22.52,5.64,7.65,0.0,001
2015-06-25,28.59,21.44,5.59,7.14,0.0,001
2015-06-26,30.18,22.0,5.55,6.78,0.0,001
2015-06-27,33.5,23.25,5.28,2.89,0.0,001
2015-06-28,30.81,24.98,4.63,5.43,0.0,001
2015-06-29,29.96,23.04,5.36,5.02,0.0,001
2015-06-30,30.88,23.33,5.37,6.77,0.0,001
2015-07-01,31.6,22.83,5.41,6.38,0.0,001
2015-07-02,30.7,23.7,5.2,6.51,0.0,001
2015-07-03,30.63,24.0,5.42,5.68,0.0,001
2015-07-04,32.28,23.12,5.37,5.39,0.0,001
2015-07-05,33.29,25.12,5.19,5.5,0.0,001
2015-07-06,32.46,24.38,5.21,7.15,0.0,001
2015-07-07,31.03,24.05,5.45,7.92,0.0,001
2015-07-08,32.08,23.65,5.49,6.54,0.0,001
2015-07-09,32.62,24.12,5.46,6.02,0.0,001
2015-07-10,31.88,24.29,5.41,7.2,0.0,001
2015-07-11,32.93,24.25,5.31,7.03,0.0,001
2015-07-12,31.79,24.37,5.47,6.48,0.0,001
2015-07-13,30.47,24.27,5.34,6.17,0.0,001
2015-07-14,32.29,24.8,5.25,4.31,0.0,001
2015-07-15,32.7,25.86,5.34,4.19,0.0,001
2015-07-16,33.56,26.06,5.31,3.26,0.0,001
2015-07-17,33.0,25.76,5.29,4.6,0.0,001
2015-07-18,33.53,25.57,5.34,5.42,0.0,001
2015-07-19,33.25,25.36,5.45,6.11,0.0,001
2015-07-20,33.35,24.98,5.42,6.23,0.0,001
2015-07-21,32.98,24.58,5.36,5.03,0.0,001
2015-07-22,33.58,25.67,5.31,5.03,0.0,001
2015-07-23,34.46,26.54,5.3,3.75,0.0,001
2015-07-24,36.46,28.3,5.26,2.44,0.0,001
2015-07-25,36.19,27.21,5.14,4.06,0.0,001
2015-07-26,34.51,26.12,5.14,6.33,0.0,001
2015-07-27,33.93,26.42,5.02,7.18,0.0,001
2015-07-28,34.68,25.84,5.36,5.23,0.0,001
2015-07-29,36.25,27.91,4.97,2.37,0.0,001
2015-07-30,36.2,27.77,5.06,3.15,0.0,001
2015-07-31,35.91,27.91,5.0,4.01,0.0,001
2015-08-01,36.76,28.37,4.94,3.89,0.0,001
2015-08-02,36.95,28.46,4.75,2.56,0.0,001
2015-08-03,37.02,28.04,4.7,4.47,0.0,001
2015-08-04,36.0,29.19,4.24,6.09,0.0,001
2015-08-05,35.17,28.67,4.56,7.03,0.0,001
2015-08-06,35.36,27.64,5.0,7.15,0.0,001
2015-08-07,37.61,27.76,5.0,4.06,0.0,001
2015-08-08,37.64,29.2,4.96,4.58,0.0,001
2015-08-09,37.72,29.43,4.9,5.52,0.0,001
2015-08-10,38.36,28.75,4.98,6.01,0.0,001
2015-08-11,37.05,28.55,4.95,5.12,0.0,001
2015-08-12,35.43,29.0,4.87,5.34,0.0,001
2015-08-13,33.94,27.13,5.06,5.36,0.0,001
2015-08-14,34.31,26.79,5.06,5.5,0.0,001
2015-08-15,37.53,26.9,5.0,4.95,0.0,001
2015-08-16,38.87,27.83,4.9,4.58,0.0,001
2015-08-17,36.29,29.01,4.76,4.9,0.0,001
2015-08-18,35.27,28.12,4.74,4.36,0.0,001
2015-08-19,35.22,27.45,4.69,5.92,0.0,001
2015-08-20,35.68,27.65,4.66,7.03,0.0,001
2015-08-21,34.54,27.92,4.71,7.77,0.0,001
2015-08-22,34.23,26.75,4.76,7.54,0.0,001
2015-08-23,33.53,26.14,4.69,6.69,0.0,001
2015-08-24,32.85,26.22,4.71,7.83,0.0,001
2015-08-25,31.86,25.87,4.8,8.11,0.0,001
2015-08-26,31.94,25.31,4.68,6.56,0.0,001
2015-08-27,32.79,26.27,4.1,5.42,0.0,001
2015-08-28,33.66,26.24,4.62,5.53,0.0,001
2015-08-29,33.46,26.39,4.61,6.3,0.0,001
2015-08-30,32.51,25.27,4.82,7.88,0.0,001
2015-08-31,32.09,23.75,4.94,6.2,0.0,001
2015-09-01,33.48,25.11,4.84,5.62,0.0,001
2015-09-02,32.72,25.38,4.76,5.91,0.0,001
2015-09-03,34.22,24.94,4.62,6.47,0.0,001
2015-09-04,33.95,25.29,4.5,6.45,0.0,001
2015-09-05,32.43,25.16,4.65,6.72,0.0,001
2015-09-06,32.04,25.18,4.69,6.14,0.0,001
2015-09-07,32.29,23.74,4.73,5.36,0.0,001
2015-09-08,33.78,25.1,3.81,3.03,0.0,001
2015-09-09,35.74,26.86,3.0,2.08,0.0,001
2015-09-10,34.3,27.28,3.53,2.11,0.0,001
2015-09-11,34.7,27.11,3.74,2.76,0.0,001
2015-09-12,35.46,27.85,3.22,2.86,0.01,001
2015-09-13,35.2,27.5,3.51,3.18,0.0,001
2015-09-14,33.42,27.1,3.73,3.81,0.0,001
2015-09-15,33.26,26.24,3.78,4.09,0.0,001
2015-09-16,32.56,26.31,4.04,6.23,0.0,001
2015-09-17,33.41,25.77,4.26,4.44,0.0,001
2015-09-18,31.69,25.69,4.15,3.51,0.0,001
2015-09-19,33.25,25.92,3.61,3.95,0.0,001
2015-09-20,33.53,27.3,3.08,4.8,0.0,001
2015-09-21,32.96,25.4,4.35,5.78,0.0,001
2015-09-22,33.19,25.86,4.34,3.46,0.0,001
2015-09-23,34.1,26.09,4.28,3.98,0.0,001
2015-09-24,35.14,26.87,3.96,5.7,0.0,001
2015-09-25,35.82,27.2,3.9,4.66,0.0,001
2015-09-26,34.2,26.95,4.12,3.54,0.0,001
2015-09-27,32.3,25.79,4.13,6.27,0.0,001
2015-09-28,32.69,24.83,4.02,5.4,0.0,001
2015-09-29,35.32,24.36,3.98,4.46,0.0,001
2015-09-30,33.93,26.77,3.97,1.84,0.0,001
2015-10-01,31.63,25.64,3.9,4.66,0.0,001
2015-10-02,31.86,25.18,3.43,5.7,0.0,001
2015-10-03,33.14,26.19,3.65,6.33,0.0,001
2015-10-04,31.89,24.89,3.67,6.26,0.0,001
2015-10-05,30.19,24.49,3.62,6.75,0.0,001
2015-10-06,29.03,23.62,3.78,7.71,0.0,001
2015-10-07,29.32,22.79,3.75,4.85,0.0,001
2015-10-08,29.34,22.96,3.83,5.19,0.0,001
2015-10-09,30.59,23.83,3.87,5.21,0.0,001
2015-10-10,29.91,22.97,3.84,4.9,0.0,001
2015-10-11,30.65,23.28,3.81,2.34,0.0,001
2015-10-12,31.11,23.89,3.76,2.32,0.0,001
2015-10-13,30.75,24.24,3.52,2.76,0.0,001
2015-10-14,31.52,24.36,3.61,3.95,0.0,001
2015-10-15,31.57,24.39,3.56,4.2,0.0,001
2015-10-16,31.43,24.84,3.39,4.66,0.0,001
2015-10-17,32.27,25.53,3.39,4.08,0.0,001
2015-10-18,32.68,26.12,2.8,3.46,0.07,001
2015-10-19,32.04,25.35,3.21,4.91,0.15,001
2015-10-20,30.08,24.57,2.72,3.93,0.15,001
2015-10-21,29.85,24.03,2.8,2.3,0.12,001
2015-10-22,30.28,23.79,3.25,2.29,0.0,001
2015-10-23,31.32,25.26,2.09,1.64,0.0,001
2015-10-24,30.77,24.57,3.19,2.46,0.03,001
2015-10-25,30.43,25.38,2.78,3.44,5.55,001
2015-10-26,27.27,22.83,2.81,6.09,0.5,001
2015-10-27,26.95,22.57,3.18,5.92,0.34,001
2015-10-28,25.32,21.42,3.06,5.77,0.06,001
2015-10-29,24.64,19.46,3.23,5.42,0.02,001
2015-10-30,24.88,19.75,3.36,3.89,0.0,001
2015-10-31,25.77,20.12,3.32,4.27,0.0,001
2015-11-01,28.82,20.82,3.21,4.04,0.0,001
2015-11-02,29.46,21.28,3.13,3.89,0.0,001
2015-11-03,28.63,21.77,2.96,3.4,0.0,001
2015-11-04,26.49,21.21,2.78,3.75,0.34,001
2015-11-05,24.91,19.03,3.08,5.15,0.02,001
2015-11-06,25.4,18.87,2.89,5.54,0.09,001
2015-11-07,25.08,19.85,3.02,4.5,0.0,001
2015-11-08,26.45,19.36,2.96,4.96,0.0,001
2015-11-09,24.42,19.02,3.07,7.19,0.0,001
2015-11-10,23.77,17.03,3.12,6.35,0.0,001
2015-11-11,24.7,17.43,3.07,5.39,0.0,001
2015-11-12,24.79,17.41,3.05,2.96,0.0,001
2015-11-13,26.75,19.7,3.05,3.05,0.0,001
2015-11-14,27.73,20.01,2.68,2.46,0.0,001
2015-11-15,28.03,22.57,1.83,1.73,0.0,001
2015-11-16,24.68,20.07,2.57,5.79,0.04,001
2015-11-17,22.83,17.89,2.65,6.45,0.14,001
2015-11-18,23.32,17.49,2.88,3.64,0.0,001
2015-11-19,24.76,18.47,2.91,3.18,0.0,001
2015-11-20,25.66,18.82,2.62,3.28,0.0,001
2015-11-21,26.02,20.08,2.61,2.3,0.0,001
2015-11-22,24.65,18.98,2.83,3.78,0.0,001
2015-11-23,24.91,18.27,2.74,3.83,0.0,001
2015-11-24,23.78,17.56,2.68,3.16,0.0,001
2015-11-25,23.7,17.51,2.63,5.2,0.0,001
2015-11-26,24.8,19.0,2.67,4.27,0.0,001
2015-11-27,25.15,20.12,2.67,1.4,0.0,001
2015-11-28,26.91,20.63,2.38,3.42,0.0,001
2015-11-29,25.02,20.8,2.2,4.42,0.0,001
2015-11-30,23.22,17.86,2.59,7.08,0.0,001
2015-12-01,21.81,16.35,1.96,7.08,0.0,001
2015-12-02,22.46,14.08,2.82,5.71,0.0,001
2015-12-03,22.17,14.82,2.78,6.25,0.0,001
2015-12-04,21.56,15.65,2.73,4.09,0.0,001
2015-12-05,22.47,13.24,2.65,5.09,0.0,001
2015-12-06,20.86,11.6,2.72,4.84,0.0,001
2015-12-07,21.28,13.29,2.82,3.86,0.0,001
2015-12-08,21.77,14.81,2.73,3.14,0.0,001
2015-12-09,20.93,15.26,2.78,4.01,0.0,001
2015-12-10,21.4,15.42,2.7,4.97,0.0,001
2015-12-11,21.13,13.54,2.65,5.93,0.0,001
2015-12-12,20.04,14.24,2.6,5.14,0.02,001
2015-12-13,16.86,13.08,1.76,5.73,0.47,001
2015-12-14,19.57,12.24,2.41,5.83,0.0,001
2015-12-15,20.57,13.79,2.66,2.99,0.0,001
2015-12-16,20.56,15.05,2.59,2.75,0.0,001
2015-12-17,19.2,14.06,2.55,5.67,0.0,001
2015-12-18,18.41,12.71,2.47,4.07,0.0,001
2015-12-19,19.15,13.45,2.57,4.53,0.0,001
2015-12-20,19.77,13.05,2.62,4.92,0.0,001
2015-12-21,21.01,13.79,2.61,3.46,0.0,001
2015-12-22,21.19,13.96,2.52,4.2,0.0,001
2015-12-23,21.13,13.81,2.43,5.54,0.0,001
2015-12-24,20.24,12.81,2.23,5.22,0.01,001
2015-12-25,20.55,13.0,2.66,2.84,0.0,001
2015-12-26,21.01,14.27,2.7,2.45,0.0,001
2015-12-27,21.41,15.26,2.65,2.29,0.0,001
2015-12-28,23.05,14.53,2.67,2.56,0.0,001
2015-12-29,21.12,15.17,1.2,3.5,0.0,001
2015-12-30,19.08,13.54,2.39,7.2,0.0,001
2015-12-31,17.55,13.25,2.06,4.95,0.0,001
2016-01-01,16.03,10.87,2.0,7.89,0.0,001
2016-01-02,14.89,8.5,2.71,5.98,0.0,001
2016-01-03,17.59,10.76,2.76,4.07,0.0,001
2016-01-04,18.89,13.05,2.76,4.86,0.0,001
2016-01-05,19.98,13.06,2.73,3.73,0.0,001
2016-01-06,22.46,14.2,2.74,3.83,0.0,001
2016-01-07,23.11,15.81,2.41,2.79,0.0,001
2016-01-08,18.37,13.5,1.99,7.61,0.0,001
2016-01-09,19.62,12.91,2.32,6.25,0.0,001
2016-01-10,20.22,13.52,2.82,3.18,0.0,001
2016-01-11,21.26,14.83,2.72,3.46,0.0,001
2016-01-12,22.99,13.75,2.85,3.6,0.0,001
2016-01-13,21.57,15.44,2.82,2.31,0.0,001
2016-01-14,21.69,15.01,2.85,6.31,0.0,001
2016-01-15,20.04,13.54,2.86,3.67,0.0,001
2016-01-16,21.28,14.31,2.89,1.43,0.0,001
2016-01-17,22.04,15.87,2.91,2.31,0.0,001
2016-01-18,17.03,12.07,2.48,6.58,0.0,001
